reviewId,sentenceId,text,aspect_term,polarity
_36,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service,1
_37,1055910:0,we love th pink pony.,pink pony,1
_38,1055910:1,THe perfect spot.,spot,1
_39,1055910:2,Food-awesome.,Food,1
_40,1055910:3,Service- friendly and attentive.,Service,1
_41,1055910:4,Ambiance- relaxed and stylish.,Ambiance,1
_42,1055910:5,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",place,1
_43,1058221:2,the food is decent.,food,0
_44,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",service,-1
_45,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",waiter,-1
_46,1062641:0,This place has got to be the best japanese restaurant in the new york area.,place,1
_47,1062641:2,Food is great.,Food,1
_48,1062641:3,Service is top notch.,Service,1
_49,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",sea urchin,1
_50,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,sushi,1
_51,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,sushi,1
_52,1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,rice to fish ration,1
_53,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,half price sushi deal,1
_54,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,half price sushi deal,1
_55,1074868:3,"In the evening, this place attracted a well dressed, with it, NY crowd.",crowd,1
_56,1074868:4,The food was well prepared and the service impecable.,food,1
_57,1074868:4,The food was well prepared and the service impecable.,service,1
_58,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,1
_59,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,1
_60,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,1
_61,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",food,1
_62,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",food,1
_63,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",food,1
_64,1086415:3,"I am not a vegetarian but, almost all the dishes were great.",dishes,1
_65,1086478:0,"The food here is rather good, but only if you like to wait for it.",food,1
_66,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",somosas,1
_67,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",chai,1
_68,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",chole,1
_69,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",dhosas,-1
_70,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",dhal,-1
_71,1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,-1
_72,1086478:3,"The kitchen however, is almost always slow.",kitchen,-1
_73,1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",food,-1
_74,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",ambience,1
_75,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,view,1
_76,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,1
_77,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,1
_78,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,1
_79,1090587:3,The lava cake dessert was incredible and I recommend it.,lava cake dessert,1
_80,1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",Cosette,1
_81,1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",restaurant,1
_82,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",food,1
_83,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",French Onion soup,-1
_84,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",French Onion soup,1
_85,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",desserts,-1
_86,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",ambience,1
_87,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",food,0
_88,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,pizza,-1
_89,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,cheese,-1
_90,1119578:1,The pizza is overpriced and soggy.,pizza,-1
_91,1119578:1,The pizza is overpriced and soggy.,pizza,-1
_92,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,1
_93,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,-1
_94,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,-1
_95,1123262:0,I think I've had some the best meals of my life at minnow.,meals,1
_96,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",seafood,1
_97,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",wine list,1
_98,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",menu,1
_99,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,ingredients,1
_100,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,Pastrami,1
_101,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,portion,1
_102,1125006:3,My wife had the fried shrimp which are huge and loved it.,fried shrimp,1
_103,1125006:3,My wife had the fried shrimp which are huge and loved it.,fried shrimp,1
_104,1125284:0,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",place,1
_105,1125284:1,This place is the most Japanese it can ever get.,place,1
_106,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",signs,1
_107,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",specials menus,1
_108,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",food,1
_109,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",waitstaff,1
_110,1125284:3,This place is worth an one-hour drive.,place,1
_111,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",Leon,1
_112,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",Leon,1
_113,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",specials,1
_114,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",atmosphere,1
_115,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",French bistro fare,1
_116,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",staff,1
_117,1126814:3,Decent wine at reasonable prices.,wine,0
_118,1126814:3,Decent wine at reasonable prices.,wine,1
_119,1126886:0,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",Zucchero Pomodori,1
_120,1126886:1,This is by far my favorite place in the neighborhood.,place,1
_121,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",service,1
_122,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",decor,1
_123,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",food,1
_124,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",portions,1
_125,1126886:4,I'm partial to the Gnocchi.,Gnocchi,1
_126,1131595:0,This place is incredibly tiny.,place,-1
_127,1131595:2,The hostess is rude to the point of being offensive.,hostess,-1
_128,1131595:3,The food was bland oily.,food,-1
_129,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",food,1
_130,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",wine,1
_131,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",service,1
_132,1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",wait,1
_133,1138996:3,As always we had a great glass of wine while we waited.,glass of wine,1
_134,1138996:4,"When we sat, we got great and fast service.",service,1
_135,1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,people,1
_136,1138996:6,Make sure you try this place as often as you can.,place,1
_137,1145510:0,This is a fun restaurant to go to.,restaurant,1
_138,1145510:1,The pizza is yummy and I like the atmoshpere.,pizza,1
_139,1145510:1,The pizza is yummy and I like the atmoshpere.,atmoshpere,1
_140,1145510:2,But the pizza is way to expensive.,pizza,-1
_141,1145510:3,"A large is $20, and toppings are about $3 each.",toppings,-1
_142,1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,lunch,-1
_143,1147082:1,Sauce was watery and the food didn't have much flavor.,Sauce,-1
_144,1147082:1,Sauce was watery and the food didn't have much flavor.,food,-1
_145,1147211:0,This place is great.,place,1
_146,1147211:2,The waitress was very patient with us and the food is phenomenal!,waitress,1
_147,1147211:2,The waitress was very patient with us and the food is phenomenal!,food,1
_148,1147211:3,"Service was prompt, friendly and great.",Service,1
_149,1153034:0,Great pizza and fantastic service.,pizza,1
_150,1153034:0,Great pizza and fantastic service.,service,1
_151,1153034:1,"There was a small wait, but shorter than I expected.",wait,1
_152,1153034:2,Located at the end of a magnificent block.,block,1
_153,1154550:0,This is the best sushi in new york city - hands down.,sushi,1
_154,1154550:1,The place is small and cramped but the food is fantastic.,place,-1
_155,1154550:1,The place is small and cramped but the food is fantastic.,food,1
_156,1154550:2,Get the tuna of gari.,tuna of gari,1
_157,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",sushi,1
_158,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",thai food,1
_159,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",Planet Thailand,1
_160,1162037:1,"With the great variety on the menu , I eat here often and never get bored .",menu,1
_161,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",atmosphere,0
_162,1162037:3,It's all about the food !!,food,1
_163,1167434:1,first it took us a long time to find the place.,place,-1
_164,1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",menu,-1
_165,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",rolls,0
_166,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",rolls,-1
_167,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",sashimi,-1
_168,1175958:1,"Try the crunchy tuna, it is to die for.",crunchy tuna,1
_169,1189674:0,First went here to enjoy their garden terrace.,garden terrace,1
_170,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",food,1
_171,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",service,1
_172,1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.",Steak Tartare,1
_173,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",open kitchen,1
_174,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",restaurant,-1
_175,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",wine selection,1
_176,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",Gigondas,1
_177,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",house champagne,1
_178,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,1
_179,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,1
_180,1189674:6,"Have recommended the place to friends, always gets good response.",place,1
_181,1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",crust,1
_182,1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",pizza,1
_183,1199292:3,I take all my NYC guests to VT's.,VT's,1
_184,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",neighborhood,1
_185,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",food,1
_186,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,setting,1
_187,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,service,1
_188,1205520:0,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,Mizu,1
_189,1205520:2,Make sure you have the Spicy Scallop roll.. .,Spicy Scallop roll,1
_190,1212346:0,"Moules were excellent, lobster ravioli was VERY salty!",Moules,1
_191,1212346:0,"Moules were excellent, lobster ravioli was VERY salty!",lobster ravioli,-1
_192,1212346:1,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",maitre d',-1
_193,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,dessert,-1
_194,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,dessert,-1
_195,1221938:0,The drinks are always welll made and wine selection is fairly priced.,drinks,1
_196,1221938:0,The drinks are always welll made and wine selection is fairly priced.,wine selection,1
_197,1221938:1,Try their chef's specials-- they are to die for.,chef's specials,1
_198,1221938:2,"Service is not exactly five star, but thats not really a big deal.",Service,0
_199,1221938:3,Downstairs lounge is always a good attraction,Downstairs lounge,1
_200,1225162:0,"Raga's is a romantic, cozy restaurant.",Raga's,1
_201,1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,exotic food,1
_202,1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,exotic food,1
_203,1225162:3,The staff is incredibly helpful and attentive.,staff,1
_204,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,bar,1
_205,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,beers,1
_206,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,wines,1
_207,1227999:0,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",Leon,-1
_208,1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",waitress,-1
_209,1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",service,-1
_210,1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",food,0
_211,1230993:0,I had a grat time at Jekyll and Hyde!,Jekyll and Hyde,1
_212,1230993:1,I loved everythig about it-especially the shows and actors.,shows,1
_213,1230993:1,I loved everythig about it-especially the shows and actors.,actors,1
_214,1230993:2,Our server was very helpful and friendly.,server,1
_215,1230993:4,The food was good too.,food,1
_216,1232468:0,The tuna and wasabe potatoes are excellent.,tuna,1
_217,1232468:0,The tuna and wasabe potatoes are excellent.,wasabe potatoes,1
_218,1232468:1,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,1
_219,1232468:3,Service was prompt and courteous.,Service,1
_220,1241906:0,"Great service, great food.",service,1
_221,1241906:0,"Great service, great food.",food,1
_222,1253117:1,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza,1
_223,1253117:1,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",fresh mozzarella,1
_224,1253117:2,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",appetizer selection,-1
_225,1253117:5,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,Wait staff,-1
_226,1253117:5,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,pie,1
_227,1256373:0,By far the best salad I have had in a fast food restaurant.,salad,1
_228,1256373:1,fine dining restaurant quality.,dining,1
_229,1264954:0,"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",restaurant,1
_230,1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",chicken pot pie,1
_231,1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",cheeseburger,1
_232,1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",cheeseburger,1
_233,1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",service,1
_234,1269216:1,The staff is no nonsense.,staff,1
_235,1269216:2,The food options rule.,food,1
_236,1269216:3,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,bagels,1
_237,1269216:4,Worth visiting the 1st Ave spot because it is the original store.,1st Ave spot,1
_238,1275154:4,"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!",Uni Hand roll,1
_239,1275154:6,The sake menu should not be overlooked!,sake menu,1
_240,1275154:8,Try the lobster teriyaki and the rose special roll.,lobster teriyaki,1
_241,1275154:8,Try the lobster teriyaki and the rose special roll.,rose special roll,1
_242,1280166:1,"Service was very good - prompt, attentive and non-intrusive.",Service,1
_243,1280166:2,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",Food,1
_244,1280166:2,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",pork belly,-1
_245,1280166:3,Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,1
_246,1280166:3,Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,1
_247,1280166:4,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,Traditional French decour,1
_248,1280166:4,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,hall,-1
_249,1280179:0,"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.",Cafe Spice,1
_250,1280179:1,"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. ",Service,0
_251,1280179:2,"Seating is always prompt, though the restaurant does fill up in the evening.",Seating,1
_252,1280179:3,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",Food,1
_253,1280179:3,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",raw vegatables in side orders,-1
_254,1280179:5,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",decor,1
_255,1280179:5,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",semi-private boths,1
_256,1286916:0,I have NEVER been disappointed in the Red Eye.,Red Eye,1
_257,1286916:1,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",live jazz band,1
_258,1286916:1,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",atmosphere,1
_259,1286916:3,It's simply the best meal in NYC.,meal,1
_260,1286916:4,You cannot go wrong at the Red Eye Grill.,Red Eye Grill,1
_261,1287538:0,"If we were to move from the upper east side, we would genuinely miss this restaurant.",restaurant,1
_262,1287538:2,The restaurant is cute but not upscale.,restaurant,0
_263,1287538:3,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,food,1
_264,1287538:3,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,balance of herbs and tomatoes,1
_265,1289424:0,We had a great time at the Jekyll and hyde Pub last night.,Jekyll and hyde Pub,1
_266,1289424:2,After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,1
_267,1289424:3,The server was really cool and served us our food and drinks with a smile.,server,1
_268,1289424:4,The place's decor and hidden bathrooms made for a good laugh.,decor,1
_269,1289424:4,The place's decor and hidden bathrooms made for a good laugh.,hidden bathrooms,1
_270,1289424:5,I highly recommend visiting this restaurant and having dinner and drinks!,restaurant,1
_271,1293334:0,"If you are the type of person who likes being scared and entertained, this is a great place to go and eat.",place,1
_272,1293334:1,"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.",Jekyll and Hyde Pub,1
_273,1293334:2,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",beers,1
_274,1293334:2,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",food,1
_275,1293334:2,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",pumkin tortelini,1
_276,1293334:4,"Please take my advice, go and try this place.",place,1
_277,1297844:2,The bagel was huge.,bagel,1
_278,1297844:4,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,bagel,-1
_279,1300636:0,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,food,1
_280,1300636:0,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,service,1
_281,1300636:2,I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,lobster roll,1
_282,1300636:2,I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,lobster,1
_283,1300636:3,"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",pizza,1
_284,1300636:3,"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",santa fe chopped salad,1
_285,1300636:3,"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",fish and chips,1
_286,1300636:4,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",food,1
_287,1300636:4,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",ambience,1
_288,1300636:4,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",service,1
_289,1303888:0,All the staff is absolutely professional!! ,staff,1
_290,1303984:0,This restaurant was way overhyped.,restaurant,-1
_291,1303984:1,My chow fun and chow see was really bland and oily.,chow fun and chow see,-1
_292,1303984:3,The scallion pancakes and fried dumplings were nothing out of the ordinary.,scallion pancakes,0
_293,1303984:3,The scallion pancakes and fried dumplings were nothing out of the ordinary.,fried dumplings,0
_294,1308557:0,The service was the only thing good about this restaurant.,service,1
_295,1308557:0,The service was the only thing good about this restaurant.,restaurant,-1
_296,1308557:1,"It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.",sushi,-1
_297,1308557:1,"It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.",tuna,-1
_298,1308557:1,"It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.",rolls,-1
_299,1310217:1,Their pad penang is delicious and everything else is fantastic.,pad penang,1
_300,1310217:2,The price is reasonable although the service is poor.,service,-1
_301,1318537:0,fresh restaurant was amazing........ food was delicious and of course fresh.,fresh restaurant,1
_302,1318537:0,fresh restaurant was amazing........ food was delicious and of course fresh.,food,1
_303,1318537:4,Hats off to the chef.,chef,1
_304,1328078:3,"the salads are delicious, both refreshing and very spicy.",salads,1
_305,1328078:4,We had Pam's special fried fish and it was amazing.,Pam's special fried fish,1
_306,1335154:1,"Great vibe, lots of people.",vibe,1
_307,1335154:4,"I didn't complain, I liked the atmosphere so much.",atmosphere,1
_308,1335656:2,"Ambience is so cute and quaint, good for business although we were there on vacation.",Ambience,1
_309,1335656:3,Salads were fantastic.,Salads,1
_310,1335656:4,Although we were looking for regular lettuce and some walnuts the salads we got were great.,salads,1
_311,1335656:5,Ingredients are organic which is a real plus for me.,Ingredients,1
_312,1338124:0,"This is some really good, inexpensive sushi.",sushi,1
_313,1338124:0,"This is some really good, inexpensive sushi.",sushi,1
_314,1338124:2,The spicy Tuna roll is huge and probably the best that I've had at this price range.,spicy Tuna roll,1
_315,1338124:2,The spicy Tuna roll is huge and probably the best that I've had at this price range.,spicy Tuna roll,1
